Release,Title,Studio,Gross / Box,Gross / Theaters,Opening / Box,Opening / Theaters,Adjusted Gross,Director,Producer,Bond,M,Q,Length,Miss Moneypenny,Music,Song,Budget,IMDB,Metacritic,Kinopoisk
1963-08-05,Dr. No,UA,16067035.0,0,0.0,0,170310600.0,Terence Young,"Harry Saltzman, Albert R. Broccoli",Sean Connery,Bernard Lee,-,109,Lois Maxwell,Monty Norman,Monty Norman,1.1,7.3,78,7.6
1964-08-04,"From Russia, with Love",UA,24796765.0,0,0.0,0,240235300.0,Terence Young,"Harry Saltzman, Albert R. Broccoli",Sean Connery,Bernard Lee,Desmond Llewelyn,115,Lois Maxwell,John Barry,Matt Monro,2.0,7.4,85,7.4
1964-12-22,Goldfinger,UA,51081062.0,0,0.0,0,597363000.0,Guy Hamilton,"Harry Saltzman, Albert R. Broccoli",Sean Connery,Bernard Lee,Desmond Llewelyn,110,Lois Maxwell,John Barry,Shirley Bassey,3.0,7.7,87,7.7
1965-12-21,Thunderball,UA,63595658.0,0,0.0,0,673948000.0,Terence Young,Kevin McClory,Sean Connery,Bernard Lee,Desmond Llewelyn,130,Lois Maxwell,John Barry,Tom Jones,9.0,7.0,64,7.4
1967-06-13,You Only Live Twice,UA,43084787.0,0,0.0,0,323494900.0,Lewis Gilbert,"Harry Saltzman, Albert R. Broccoli",Sean Connery,Bernard Lee,Desmond Llewelyn,115,Lois Maxwell,John Barry,Nancy Sinatra,9.5,6.9,61,7.2
1969-12-18,On Her Majesty's Secret Service,UA,22774493.0,0,0.0,0,144505800.0,Peter R. Hunt,"Harry Saltzman, Albert R. Broccoli",George Lazenby,Bernard Lee,Desmond Llewelyn,140,Lois Maxwell,John Barry,Louis Armstrong,7.0,6.8,61,6.7
1971-12-17,Diamonds Are Forever,UA,43819547.0,0,0.0,0,239281300.0,Guy Hamilton,"Harry Saltzman, Albert R. Broccoli",Sean Connery,Bernard Lee,Desmond Llewelyn,120,Lois Maxwell,John Barry,Shirley Bassey,7.2,6.7,59,7.2
1973-06-27,Live and Let Die,UA,35377836.0,0,0.0,0,180087200.0,Guy Hamilton,"Harry Saltzman, Albert R. Broccoli",Roger Moore,Bernard Lee,-,120,Lois Maxwell,George Martin,Paul McCartney & Wings,7.0,6.8,55,6.9
1974-12-18,The Man with the Golden Gun,UA,20972000.0,0,0.0,0,101046900.0,Guy Hamilton,"Harry Saltzman, Albert R. Broccoli",Roger Moore,Bernard Lee,Desmond Llewelyn,125,Lois Maxwell,John Barry,Lulu,7.0,6.8,43,7.0
1977-07-13,The Spy Who Loved Me,UA,46838673.0,0,0.0,200,189245000.0,Lewis Gilbert,Albert R. Broccoli,Roger Moore,Bernard Lee,Desmond Llewelyn,125,Lois Maxwell,Marvin Hamlisch,Carly Simon,14.0,7.1,55,7.1
1979-06-29,Moonraker,MGM,70308099.0,0,7108344.0,788,252380900.0,Lewis Gilbert,Albert R. Broccoli,Roger Moore,Bernard Lee,Desmond Llewelyn,126,Lois Maxwell,John Barry,Shirley Bassey,34.0,6.3,66,6.7
1981-06-26,For Your Eyes Only,MGM,54812802.0,0,6834967.0,952,177648700.0,John Glen,Albert R. Broccoli,Roger Moore,-,Desmond Llewelyn,127,Lois Maxwell,Bill Conti,Sheena Easton,28.0,6.8,54,7.0
1983-07-10,Never Say Never Again,WB,55432841.0,156,10958157.0,155,158555500.0,Irvin Kershner,Jack Schwartzman,Sean Connery,Edward Fox,Alec McCowen,134,Pamela Salem,Michel Legrand,Lani Hall,36.0,6.6,63,6.9
1983-10-06,Octopussy,MGM,67893619.0,1339,8902564.0,1311,194197300.0,John Glen,Albert R. Broccoli,Roger Moore,Robert Brown,Desmond Llewelyn,131,Lois Maxwell,John Barry,Rita Coolidge,27.5,6.2,68,7.1
1985-05-24,A View to a Kill,MGM,50327960.0,1588,10687114.0,1583,127733800.0,John Glen,"Albert R. Broccoli, Michael G. Wilson",Roger Moore,Robert Brown,Desmond Llewelyn,130,Lois Maxwell,John Barry,Duran Duran,30.0,6.3,40,6.9
1987-07-31,The Living Daylights,UA,51185897.0,1728,11051284.0,1728,117950100.0,John Glen,"Albert R. Broccoli, Michael G. Wilson",Timothy Dalton,Robert Brown,Desmond Llewelyn,130,Caroline Bliss,John Barry,A-ha,40.0,6.7,60,6.8
1989-07-14,Licence to Kill,UA,34667015.0,1587,8774776.0,1575,78677500.0,John Glen,"Albert R. Broccoli, Michael G. Wilson",Timothy Dalton,Robert Brown,Desmond Llewelyn,133,Caroline Bliss,Michael Kamen,Gladys Knight,32.0,6.6,58,7.0
1995-11-17,GoldenEye,MGM,106429941.0,2667,26205007.0,2667,219879500.0,Martin Campbell,"Michael G. Wilson, Barbara Broccoli",Pierce Brosnan,Judi Dench,Desmond Llewelyn,130,Samantha Bond,Éric Serra,Tina Turner,60.0,7.2,65,7.1
1997-12-19,Tomorrow Never Dies,MGM,125304276.0,2807,25143007.0,2807,242469700.0,Roger Spottiswoode,"Michael G. Wilson, Barbara Broccoli",Pierce Brosnan,Judi Dench,Desmond Llewelyn,120,Samantha Bond,David Arnold,Sheryl Crow,110.0,6.5,52,7.1
1999-11-19,The World Is Not Enough,MGM,126943684.0,3163,35519007.0,3163,223932800.0,Michael Apted,"Michael G. Wilson, Barbara Broccoli",Pierce Brosnan,Judi Dench,Desmond Llewelyn,130,Samantha Bond,David Arnold,Garbage,125.0,6.4,57,7.1
2002-11-22,Die Another Day,MGM,160942139.0,3377,47072040.0,3314,248532100.0,Lee Tamahori,"Michael G. Wilson, Barbara Broccoli",Pierce Brosnan,Judi Dench,John Cleese,135,Samantha Bond,David Arnold,Madonna,145.0,6.1,56,7.0
2006-11-17,Casino Royale,Sony,167445960.0,3443,40833156.0,3434,229112400.0,Martin Campbell,"Michael G. Wilson, Barbara Broccoli",Daniel Craig,Judi Dench,-,145,-,David Arnold,Chris Cornell,150.0,8.0,80,7.7
2008-11-14,Quantum of Solace,Sony,168368427.0,3501,67528882.0,3451,211281300.0,Marc Forster,"Michael G. Wilson, Barbara Broccoli",Daniel Craig,Judi Dench,-,106,-,David Arnold,Jack White & Alicia Keys,200.0,6.6,58,6.7
2012-09-11,Skyfall,Sony,304360277.0,3526,88364714.0,3505,340956400.0,Sam Mendes,"Michael G. Wilson, Barbara Broccoli",Daniel Craig,Judi Dench,Ben Whishaw,143,Naomie Harris,Thomas Newman,Adele,150.0,7.8,81,7.4
2015-06-11,Spectre,Sony,200074609.0,3929,70403148.0,3929,207246700.0,Sam Mendes,"Michael G. Wilson, Barbara Broccoli",Daniel Craig,Ralph Fiennes,Ben Whishaw,148,Naomie Harris,Thomas Newman,Sam Smith,245.0,6.8,60,6.6
